openalex_topic,n_papers
Climate Change and Sustainable Development,2
Geodetic Measurements and Engineering Structures,2
Research studies in Vietnam,2
Marine and environmental studies,2
Advanced Computational Techniques and Applications,2
Geotechnical Engineering and Soil Stabilization,2
Geochemistry and Geologic Mapping,2
Water Resources and Management,2
Environmental Science and Water Management,2
Historical and socio-economic studies of Spain and related regions,2
Image Processing and 3D Reconstruction,2
Geological Formations and Processes Exploration,2
Clinical Nutrition and Gastroenterology,2
Healthcare Systems and Challenges,2
3D Modeling in Geospatial Applications,2
Soil Carbon and Nitrogen Dynamics,1
Methane Hydrates and Related Phenomena,1
Geology and Environmental Impact Studies,1
Blasting Impact and Analysis,1
"Hydropower, Displacement, Environmental Impact",1
Horticultural and Viticultural Research,1
Diverse Approaches in Healthcare and Education Studies,1
Sustainable Design and Development,1
Life Cycle Costing Analysis,1
Food Quality and Safety Studies,1
Oceanographic and Atmospheric Processes,1
earthquake and tectonic studies,1
Isotope Analysis in Ecology,1
Regional Development and Environment,1
Nuclear and radioactivity studies,1
Seismic Imaging and Inversion Techniques,1
Archaeological Research and Protection,1
Minerals Flotation and Separation Techniques,1
Mine drainage and remediation techniques,1
Mining and Resource Management,1
Water Quality Monitoring and Analysis,1
Dam Engineering and Safety,1
Geotechnical Engineering and Soil Mechanics,1
Geotechnical and construction materials studies,1
Grey System Theory Applications,1
Complex Systems and Decision Making,1
Disaster Management and Resilience,1
Multimedia Learning Systems,1
Urban and Rural Development Challenges,1
Remote-Sensing Image Classification,1
Geological Studies and Exploration,1
Smart Materials for Construction,1
Geotechnical Engineering and Analysis,1
Constructed Wetlands for Wastewater Treatment,1
"Education, Psychology, and Social Research",1
Data Analysis with R,1
Computational Physics and Python Applications,1
Statistical Methods and Bayesian Inference,1
Geological and Geophysical Studies,1
Ecology and biodiversity studies,1
Species Distribution and Climate Change,1
Bone fractures and treatments,1
Hip and Femur Fractures,1
Shoulder and Clavicle Injuries,1
Global Energy Security and Policy,1
NMR spectroscopy and applications,1
Aquatic Invertebrate Ecology and Behavior,1
Plant Ecology and Soil Science,1
Industrial Engineering and Technologies,1
Engineering Technology and Methodologies,1
Mercury impact and mitigation studies,1
Water management and technologies,1
Sustainability and Ecological Systems Analysis,1
Engineering and Agricultural Innovations,1
E-commerce and Technology Innovations,1
"Agriculture, Soil, Plant Science",1
Historical and Archaeological Studies,1
Botany and Plant Ecology Studies,1
Geology and Paleoclimatology Research,1
Aeolian processes and effects,1
Pasture and Agricultural Systems,1
Fisheries and Aquaculture Studies,1
Multidisciplinary Science and Engineering Research,1
Environmental and Ecological Studies,1
Knowledge Societies in the 21st Century,1
Geological and Geophysical Studies Worldwide,1
Education Practices and Evaluation,1
Environmental and Cultural Studies in Latin America and Beyond,1
"Fish biology, ecology, and behavior",1
Environmental and biological studies,1
Agricultural Economics and Policy,1
